this_week	last_week	end_2013	country	flag_url	name	player_url	avg_points	total_points	event_played_divisor	points_lost	points_gained	events_played_actual
29	29	29	USA	http://www.owgr.com/styles/img/flags/USA.png	Bill Haas	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7900	3.5611	185.18	52	-111.30	124.70	57
30	31	15	USA	http://www.owgr.com/styles/img/flags/USA.png	Jason Dufner	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7301	3.4999	167.99	48	-167.13	76.29	48
30	30	24	DEN	http://www.owgr.com/styles/img/flags/DEN.png	Thomas Bjorn	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5725	3.4999	181.99	52	-97.16	87.21	53
32	32	17	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Luke Donald	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=4163	3.4494	169.02	49	-164.06	99.60	49
33	33	21	USA	http://www.owgr.com/styles/img/flags/USA.png	Webb Simpson	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=11049	3.3872	176.14	52	-138.66	95.69	52
34	34	66	SCO	http://www.owgr.com/styles/img/flags/SCO.png	Stephen Gallacher	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5647	3.2776	170.43	52	-78.25	149.75	55
35	35	233	USA	http://www.owgr.com/styles/img/flags/USA.png	Kevin Na	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7452	3.2437	132.99	41	-38.99	139.34	41
36	48	49	NED	http://www.owgr.com/styles/img/flags/NED.png	Joost Luiten	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10158	3.1700	164.84	52	-71.27	116.02	52
37	36	37	ESP	http://www.owgr.com/styles/img/flags/ESP.png	Miguel A Jimenez	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=3596	3.1648	142.41	45	-79.54	91.00	45
38	37	12	ENG	http://www.owgr.com/styles/img/flags/ENG.png	Ian Poulter	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=1435	3.1122	149.39	48	-153.28	45.99	48
39	38	13	USA	http://www.owgr.com/styles/img/flags/USA.png	Brandt Snedeker	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=8820	3.0817	154.08	50	-178.68	78.87	50
40	39	36	CAN	http://www.owgr.com/styles/img/flags/CAN.png	Graham Delaet	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=10252	3.0450	155.29	51	-90.24	96.89	51
41	40	126	USA	http://www.owgr.com/styles/img/flags/USA.png	Ryan Palmer	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=7820	2.9721	145.63	49	-57.55	138.28	49
42	42	46	THA	http://www.owgr.com/styles/img/flags/THA.png	Thongchai Jaidee	http://www.owgr.com/en/Ranking/PlayerProfile.aspx?playerID=5973	2.9629	154.07	52	-84.73	106.45	60
